2026/04/23 11:23:37.020, 2032 MHz, 371.75 W, 46
2026/04/23 11:23:37.270, 2032 MHz, 371.79 W, 46
2026/04/23 11:23:37.520, 2032 MHz, 371.92 W, 46
2026/04/23 11:23:37.770, 2032 MHz, 371.98 W, 46
2026/04/23 11:23:38.020, 2032 MHz, 372.02 W, 46
2026/04/23 11:23:38.271, 2032 MHz, 372.05 W, 46
2026/04/23 11:23:38.521, 2032 MHz, 372.06 W, 46
2026/04/23 11:23:38.771, 2032 MHz, 372.10 W, 46
2026/04/23 11:23:39.021, 2032 MHz, 372.28 W, 46
2026/04/23 11:23:39.271, 2032 MHz, 372.25 W, 47
2026/04/23 11:23:39.521, 2032 MHz, 372.28 W, 47
2026/04/23 11:23:39.771, 2032 MHz, 372.35 W, 47
2026/04/23 11:23:40.021, 2032 MHz, 372.18 W, 47
2026/04/23 11:23:40.271, 2032 MHz, 372.22 W, 47
2026/04/23 11:23:40.522, 2032 MHz, 372.27 W, 47
2026/04/23 11:23:40.772, 2032 MHz, 372.27 W, 47
2026/04/23 11:23:41.022, 2032 MHz, 372.35 W, 47
2026/04/23 11:23:41.272, 2032 MHz, 372.39 W, 47
2026/04/23 11:23:41.522, 2032 MHz, 372.35 W, 47
2026/04/23 11:23:41.772, 2032 MHz, 372.35 W, 47
2026/04/23 11:23:42.022, 2032 MHz, 372.30 W, 47
2026/04/23 11:23:42.272, 2032 MHz, 372.31 W, 47
2026/04/23 11:23:42.522, 2032 MHz, 372.33 W, 47
2026/04/23 11:23:42.772, 2032 MHz, 372.28 W, 47
2026/04/23 11:23:43.023, 2032 MHz, 372.31 W, 47
2026/04/23 11:23:43.273, 2032 MHz, 372.31 W, 47
2026/04/23 11:23:43.523, 2032 MHz, 372.33 W, 47
2026/04/23 11:23:43.773, 2032 MHz, 372.38 W, 47
2026/04/23 11:23:44.023, 2032 MHz, 372.46 W, 47
2026/04/23 11:23:44.273, 2032 MHz, 372.45 W, 47
2026/04/23 11:23:44.523, 2032 MHz, 372.48 W, 47
2026/04/23 11:23:44.773, 2032 MHz, 372.47 W, 47
2026/04/23 11:23:45.023, 2032 MHz, 372.38 W, 47
